Block,StartingNumber,CTL1_Loop.thisRepN,CTL1_Loop.thisTrialN,CTL1_Loop.thisN,CTL1_Loop.thisIndex,CTL2_Loop.thisRepN,CTL2_Loop.thisTrialN,CTL2_Loop.thisN,CTL2_Loop.thisIndex,thisRow.t,notes,CTL1_instruction_start.started,ctl1_instruction_text.started,CTL1_instruction_start.stopped,CTL1_TASK.started,start_tone.started,read_number.started,start_tone.stopped,CTL1_TASK.stopped,CTL1_PAUSE.started,start_pause_tone.started,read_pausing.started,start_pause_tone.stopped,read_pausing.stopped,CTL1_PAUSE.stopped,CTL2_instruction_start.started,ctl2_instruction_text.started,CTL2_instruction_start.stopped,CTL2_TASK.started,start_tone_2.started,subtract_number.started,start_tone_2.stopped,subtract_number.stopped,CTL2_TASK.stopped,CTL2_PAUSE.started,start_pause_tone_2.started,subtract_pausing.started,start_pause_tone_2.stopped,subtract_pausing.stopped,CTL2_PAUSE.stopped,task_end.started,task_end_text.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.07874719999927038,0.0831345999995392,90.01588769999944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qc001,clt1,2025-10-22_16h31.19.446,TSST_fnirs_V4_CONTROL,2024.1.4,None,2025-10-22 16h32.04.873406 -0300,
,,0,0,0,0,,,,,90.0231674000006,,,,,90.01655439999922,90.02962436666554,90.20721389999926,90.23159200000009,130.01973890000045,130.0198006999999,130.03604876666603,130.0269798999998,130.24025640000036,150.01901159999943,150.01259299999947,,,,,,,,,,,,,,,,,,qc001,clt1,2025-10-22_16h31.19.446,TSST_fnirs_V4_CONTROL,2024.1.4,None,2025-10-22 16h32.04.873406 -0300,
,,1,0,1,0,,,,,150.01901159999943,,,,,150.0130181000004,150.02891346666573,150.21358770000006,150.23004409999885,190.01910940000016,190.01916170000004,190.03546586666587,190.0257086999991,190.2411708999989,210.01848009999958,210.0120922999995,,,,,,,,,,,,,,,,,,qc001,clt1,2025-10-22_16h31.19.446,TSST_fnirs_V4_CONTROL,2024.1.4,None,2025-10-22 16h32.04.873406 -0300,
,,2,0,2,0,,,,,210.01848009999958,,,,,210.01260379999985,210.0283614666662,210.21333559999948,210.23009730000012,250.0255732000005,250.02562839999882,250.0418817666671,250.03229029999966,250.2397517999998,270.0247688999989,270.0183735999999,,,,,,,,,,,,,,,,,,qc001,clt1,2025-10-22_16h31.19.446,TSST_fnirs_V4_CONTROL,2024.1.4,None,2025-10-22 16h32.04.873406 -0300,
,,3,0,3,0,,,,,270.0247688999989,,,,,270.01873440000054,270.03475706666563,270.2197464000001,270.2398648999988,310.02516300000025,310.02521630000047,310.0414586666668,310.03146519999973,310.2398615000002,330.0242244000001,330.0175049999998,,,,,,,,,,,,,,,,,,qc001,clt1,2025-10-22_16h31.19.446,TSST_fnirs_V4_CONTROL,2024.1.4,None,2025-10-22 16h32.04.873406 -0300,
,,4,0,4,0,,,,,330.0242244000001,,,,,330.01784469999984,330.0339414666671,330.2186980000006,330.23957379999956,370.02487629999996,370.02494829999887,370.04106326666647,370.0312147000004,370.23949809999976,390.0237631,390.0172333999999,,,,,,,,,,,,,,,,,,qc001,clt1,2025-10-22_16h31.19.446,TSST_fnirs_V4_CONTROL,2024.1.4,None,2025-10-22 16h32.04.873406 -0300,
,,5,0,5,0,,,,,390.0237631,,,,,390.0175830999997,390.0336272666666,390.2181282999991,390.2393979999997,430.03113139999914,430.0312066000006,430.0473488666669,430.0375832999998,430.24947280000015,450.03035679999994,450.0237090999999,,,,,,,,,,,,,,,,,,qc001,clt1,2025-10-22_16h31.19.446,TSST_fnirs_V4_CONTROL,2024.1.4,None,2025-10-22 16h32.04.873406 -0300,
,,,,,,,,,,,,,,,,,,,,,,,,,,450.0238081999996,450.03035679999994,505.04362299999957,,,,,,,,,,,,,,,qc001,clt1,2025-10-22_16h31.19.446,TSST_fnirs_V4_CONTROL,2024.1.4,None,2025-10-22 16h32.04.873406 -0300,
1,1659,,,,,0,0,0,0,505.0587469000002,,,,,,,,,,,,,,,,,,,505.053613099999,505.06008076666717,505.0587469000002,505.2594398000001,545.0503444999995,545.0432540000002,545.0433006999992,545.0597137666666,545.0503444999995,545.2599209999989,565.0428666999996,565.036296799999,,,qc001,clt1,2025-10-22_16h31.19.446,TSST_fnirs_V4_CONTROL,2024.1.4,None,2025-10-22 16h32.04.873406 -0300,
2,1303,,,,,0,1,1,1,565.0428666999996,,,,,,,,,,,,,,,,,,,565.0366321000001,565.0527065666668,565.0428666999996,565.258839099999,605.0356759999995,605.029137399999,605.0291799000006,605.0455381666673,605.0356759999995,605.2506183999994,625.0288495000004,625.0220532999992,,,qc001,clt1,2025-10-22_16h31.19.446,TSST_fnirs_V4_CONTROL,2024.1.4,None,2025-10-22 16h32.04.873406 -0300,
3,918,,,,,0,2,2,2,625.0288495000004,,,,,,,,,,,,,,,,,,,625.0224505999995,,625.0356322999996,,665.0282023999989,665.0215128,665.021552799999,,665.0354031999996,,685.0278854999997,685.021453899999,,,qc001,clt1,2025-10-22_16h31.19.446,TSST_fnirs_V4_CONTROL,2024.1.4,None,2025-10-22 16h32.04.873406 -0300,
4,1518,,,,,0,3,3,3,685.0278854999997,,,,,,,,,,,,,,,,,,,685.0218480000003,,685.0348911000001,,725.0276061999994,725.0214235999993,725.0214696000003,,725.0346255999993,,745.0275215000001,745.0210327000004,,,qc001,clt1,2025-10-22_16h31.19.446,TSST_fnirs_V4_CONTROL,2024.1.4,None,2025-10-22 16h32.04.873406 -0300,
5,857,,,,,0,4,4,4,745.0275215000001,,,,,,,,,,,,,,,,,,,745.0214304000001,,745.0344380999995,,785.0272002999991,785.0204677000002,785.0205129999995,,785.0345519999992,,805.0266923999989,805.0203223999997,,,qc001,clt1,2025-10-22_16h31.19.446,TSST_fnirs_V4_CONTROL,2024.1.4,None,2025-10-22 16h32.04.873406 -0300,
6,1401,,,,,0,5,5,5,805.0266923999989,,,,,,,,,,,,,,,,,,,805.0207119000006,,805.0354599999991,,845.0269203999997,845.0199957000004,845.0200463000001,,845.0338090000005,,865.0262428999995,865.0196565000006,,,qc001,clt1,2025-10-22_16h31.19.446,TSST_fnirs_V4_CONTROL,2024.1.4,None,2025-10-22 16h32.04.873406 -0300,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,865.0197436999988,865.0331611000001,,,,,,,,
